threshold,%attacksdetected,TotalNumFP,f1,precision,recall
0.5,60.1990049751,126723,0.0019048369,0.0009539277,0.6019900498
0.5005005005,59.7014925373,126527,0.0018920283,0.0009475155,0.5970149254
0.501001001,59.7014925373,126315,0.0018951957,0.0009491043,0.5970149254
0.5015015015,59.2039800995,126151,0.0018818543,0.000942425,0.592039801
0.502002002,59.2039800995,125983,0.0018843575,0.0009436805,0.592039801
0.5025025025,59.2039800995,125836,0.0018865532,0.0009447819,0.592039801
0.503003003,59.2039800995,125651,0.0018893237,0.0009461716,0.592039801
0.5035035035,59.2039800995,125499,0.0018916062,0.0009473165,0.592039801
0.504004004,58.7064676617,125340,0.0018780987,0.0009405538,0.5870646766
0.5045045045,57.7114427861,125183,0.0018486056,0.0009257855,0.5771144279
0.505005005,57.2139303483,125016,0.0018351259,0.0009190368,0.5721393035
0.5055055055,57.2139303483,124844,0.0018376478,0.0009203019,0.5721393035
0.506006006,56.7164179104,124635,0.0018247299,0.000913835,0.5671641791
0.5065065065,55.7213930348,124480,0.0017949725,0.0008989341,0.5572139303
0.507007007,55.7213930348,124312,0.0017973922,0.0009001479,0.5572139303
0.5075075075,55.7213930348,124170,0.0017994425,0.0009011764,0.5572139303
0.508008008,55.7213930348,124043,0.0018012802,0.0009020982,0.5572139303
0.5085085085,55.7213930348,123899,0.0018033684,0.0009031457,0.5572139303
0.509009009,55.7213930348,123756,0.001805447,0.0009041883,0.5572139303
0.5095095095,55.223880597,123603,0.0017915507,0.0008972307,0.552238806
0.51001001,55.223880597,123461,0.001793606,0.0008982617,0.552238806
0.5105105105,55.223880597,123319,0.0017956661,0.0008992951,0.552238806
0.511011011,54.7263681592,123194,0.0017813044,0.0008921041,0.5472636816
0.5115115115,54.7263681592,123082,0.0017829212,0.0008929151,0.5472636816
0.512012012,54.2288557214,122961,0.0017684614,0.0008856748,0.5422885572
0.5125125125,54.2288557214,122807,0.0017706734,0.0008867845,0.5422885572
0.513013013,54.2288557214,122662,0.0017727613,0.0008878318,0.5422885572
0.5135135135,54.2288557214,122550,0.0017743773,0.0008886425,0.5422885572
0.514014014,54.2288557214,122405,0.0017764739,0.0008896942,0.5422885572
0.5145145145,53.7313432836,122253,0.0017623733,0.0008826342,0.5373134328
0.515015015,53.7313432836,122128,0.0017641726,0.0008835368,0.5373134328
0.5155155155,53.7313432836,122003,0.0017659755,0.0008844412,0.5373134328
0.516016016,53.7313432836,121882,0.0017677243,0.0008853185,0.5373134328
0.5165165165,53.7313432836,121725,0.0017699985,0.0008864593,0.5373134328
0.517017017,53.7313432836,121588,0.0017719878,0.0008874573,0.5373134328
0.5175175175,53.7313432836,121388,0.0017749,0.0008889182,0.5373134328
0.518018018,53.2338308458,121032,0.0017636394,0.0008832828,0.5323383085
0.5185185185,53.2338308458,120697,0.001768522,0.0008857323,0.5323383085
0.519019019,53.2338308458,120399,0.0017728881,0.0008879226,0.5323383085
0.5195195195,53.2338308458,120145,0.0017766266,0.0008897981,0.5323383085
0.52002002,53.2338308458,119902,0.001780218,0.0008915998,0.5323383085
0.5205205205,53.2338308458,119700,0.0017832145,0.0008931031,0.5323383085
0.521021021,53.2338308458,119523,0.0017858484,0.0008944245,0.5323383085
0.5215215215,53.2338308458,119330,0.0017887293,0.0008958698,0.5323383085
0.522022022,52.736318408,119098,0.00177547,0.0008892319,0.5273631841
0.5225225225,52.736318408,118736,0.0017808691,0.0008919406,0.5273631841
0.523023023,52.736318408,118294,0.001787506,0.0008952703,0.5273631841
0.5235235235,52.736318408,118041,0.0017913273,0.0008971874,0.5273631841
0.524024024,52.736318408,117846,0.0017942837,0.0008986706,0.5273631841
0.5245245245,52.736318408,117684,0.0017967472,0.0008999066,0.5273631841
0.525025025,52.736318408,117555,0.0017987137,0.0009008932,0.5273631841
0.5255255255,52.736318408,117451,0.0018003023,0.0009016902,0.5273631841
0.526026026,52.736318408,117340,0.0018020009,0.0009025424,0.5273631841
0.5265265265,52.736318408,117240,0.0018035339,0.0009033116,0.5273631841
0.527027027,52.736318408,117137,0.0018051156,0.0009041051,0.5273631841
0.5275275275,52.736318408,117042,0.001806577,0.0009048383,0.5273631841
0.528028028,52.736318408,116925,0.00180838,0.0009057429,0.5273631841
0.5285285285,52.736318408,116788,0.0018104958,0.0009068045,0.5273631841
0.529029029,52.736318408,116690,0.0018120123,0.0009075653,0.5273631841
0.5295295295,52.736318408,116582,0.0018136865,0.0009084053,0.5273631841
0.53003003,52.736318408,116459,0.001815597,0.0009093639,0.5273631841
0.5305305305,52.736318408,116333,0.0018175583,0.0009103479,0.5273631841
0.531031031,52.736318408,116208,0.0018195082,0.0009113262,0.5273631841
0.5315315315,52.736318408,116109,0.0018210555,0.0009121026,0.5273631841
0.532032032,52.736318408,115980,0.0018230757,0.0009131161,0.5273631841
0.5325325325,52.736318408,115877,0.0018246919,0.000913927,0.5273631841
0.533033033,52.736318408,115774,0.0018263109,0.0009147394,0.5273631841
0.5335335335,52.736318408,115680,0.001827791,0.000915482,0.5273631841
0.534034034,52.736318408,115575,0.0018294472,0.000916313,0.5273631841
0.5345345345,52.736318408,115485,0.0018308691,0.0009170264,0.5273631841
0.535035035,52.736318408,115383,0.0018324834,0.0009178363,0.5273631841
0.5355355355,52.736318408,115307,0.001833688,0.0009184407,0.5273631841
0.536036036,52.736318408,115211,0.0018352118,0.0009192053,0.5273631841
0.5365365365,52.736318408,115113,0.0018367701,0.0009199872,0.5273631841
0.537037037,52.736318408,115011,0.0018383947,0.0009208023,0.5273631841
0.5375375375,52.736318408,114912,0.0018399743,0.0009215949,0.5273631841
0.538038038,52.736318408,114798,0.0018417966,0.0009225092,0.5273631841
0.5385385385,52.2388059701,114688,0.0018261822,0.0009146899,0.5223880597
0.539039039,52.2388059701,114579,0.0018279149,0.0009155593,0.5223880597
0.5395395395,52.2388059701,114477,0.0018295392,0.0009163743,0.5223880597
0.54004004,52.2388059701,114380,0.0018310866,0.0009171507,0.5223880597
0.5405405405,52.2388059701,114286,0.0018325887,0.0009179044,0.5223880597
0.541041041,52.2388059701,114175,0.0018343655,0.0009187959,0.5223880597
0.5415415415,52.2388059701,114071,0.0018360335,0.0009196328,0.5223880597
0.542042042,52.2388059701,113956,0.0018378814,0.0009205601,0.5223880597
0.5425425425,52.2388059701,113821,0.0018400554,0.0009216509,0.5223880597
0.543043043,52.2388059701,113717,0.0018417337,0.000922493,0.5223880597
0.5435435435,52.2388059701,113617,0.0018433503,0.0009233042,0.5223880597
0.544044044,52.2388059701,113506,0.0018451481,0.0009242063,0.5223880597
0.5445445445,51.7412935323,113390,0.001829456,0.000916348,0.5174129353
0.545045045,51.7412935323,113292,0.0018310343,0.0009171399,0.5174129353
0.5455455455,51.7412935323,113185,0.0018327606,0.0009180062,0.5174129353
0.546046046,51.7412935323,113094,0.0018342313,0.0009187441,0.5174129353
0.5465465465,51.7412935323,112959,0.0018364176,0.0009198412,0.5174129353
0.547047047,51.7412935323,112861,0.0018380079,0.0009206391,0.5174129353
0.5475475475,51.7412935323,112754,0.0018397474,0.000921512,0.5174129353
0.548048048,51.7412935323,112648,0.0018414739,0.0009223783,0.5174129353
0.5485485485,51.7412935323,112528,0.0018434323,0.000923361,0.5174129353
0.549049049,51.2437810945,112398,0.0018278291,0.0009155474,0.5124378109
0.5495495496,51.2437810945,112281,0.0018297286,0.0009165006,0.5124378109
0.5500500501,51.2437810945,112152,0.0018318276,0.0009175538,0.5124378109
0.5505505506,51.2437810945,112026,0.0018338823,0.0009185848,0.5124378109
0.5510510511,51.2437810945,111900,0.0018359417,0.0009196182,0.5124378109
0.5515515516,51.2437810945,111770,0.0018380713,0.0009206869,0.5124378109
0.5520520521,50.7462686567,111651,0.001822177,0.0009127272,0.5074626866
0.5525525526,50.7462686567,111533,0.0018240996,0.0009136919,0.5074626866
0.5530530531,50.7462686567,111418,0.0018259772,0.0009146341,0.5074626866
0.5535535536,50.7462686567,111313,0.001827695,0.0009154961,0.5074626866
0.5540540541,50.7462686567,111185,0.0018297933,0.0009165491,0.5074626866
0.5545545546,50.7462686567,111032,0.0018323079,0.0009178109,0.5074626866
0.5550550551,50.7462686567,110914,0.001834252,0.0009187865,0.5074626866
0.5555555556,50.7462686567,110794,0.0018362332,0.0009197807,0.5074626866
0.5560560561,50.7462686567,110672,0.0018382519,0.0009207937,0.5074626866
0.5565565566,50.7462686567,110512,0.001840906,0.0009221256,0.5074626866
0.5570570571,50.7462686567,110378,0.0018431348,0.000923244,0.5074626866
0.5575575576,50.7462686567,110245,0.0018453522,0.0009243568,0.5074626866
0.5580580581,50.7462686567,110110,0.0018476085,0.0009254891,0.5074626866
0.5585585586,50.7462686567,109973,0.0018499039,0.0009266409,0.5074626866
0.5590590591,50.7462686567,109834,0.0018522386,0.0009278125,0.5074626866
0.5595595596,50.7462686567,109725,0.0018540735,0.0009287334,0.5074626866
0.5600600601,50.7462686567,109607,0.0018560641,0.0009297323,0.5074626866
0.5605605606,50.7462686567,109455,0.0018586345,0.0009310222,0.5074626866
0.5610610611,50.7462686567,109297,0.0018613139,0.0009323668,0.5074626866
0.5615615616,50.7462686567,109162,0.0018636094,0.0009335188,0.5074626866
0.5620620621,50.7462686567,109031,0.0018658423,0.0009346394,0.5074626866
0.5625625626,50.7462686567,108902,0.0018680463,0.0009357455,0.5074626866
0.5630630631,50.7462686567,108789,0.0018699813,0.0009367165,0.5074626866
0.5635635636,50.7462686567,108159,0.0018808431,0.0009421675,0.5074626866
0.5640640641,50.7462686567,107963,0.0018842481,0.0009438764,0.5074626866
0.5645645646,50.7462686567,107477,0.0018927445,0.0009481404,0.5074626866
0.5650650651,50.7462686567,107330,0.0018953295,0.0009494378,0.5074626866
0.5655655656,50.7462686567,107104,0.0018993175,0.0009514393,0.5074626866
0.5660660661,50.7462686567,106544,0.0019092721,0.0009564353,0.5074626866
0.5665665666,50.7462686567,106344,0.0019128527,0.0009582323,0.5074626866
0.5670670671,50.2487562189,106148,0.0018976045,0.0009505972,0.5024875622
0.5675675676,50.2487562189,105977,0.0019006577,0.0009521296,0.5024875622
0.5680680681,50.2487562189,105807,0.0019037028,0.0009536579,0.5024875622
0.5685685686,49.7512437811,105636,0.0018879145,0.0009457517,0.4975124378
0.5690690691,49.7512437811,105390,0.0018923087,0.0009479572,0.4975124378
0.5695695696,49.7512437811,105226,0.0018952496,0.0009494332,0.4975124378
0.5700700701,49.7512437811,105045,0.0018985059,0.0009510676,0.4975124378
0.5705705706,49.7512437811,104861,0.0019018277,0.0009527348,0.4975124378
0.5710710711,49.7512437811,104682,0.0019050703,0.0009543624,0.4975124378
0.5715715716,49.7512437811,104496,0.0019084516,0.0009560595,0.4975124378
0.5720720721,49.7512437811,104312,0.0019118083,0.0009577443,0.4975124378
0.5725725726,49.7512437811,104161,0.0019145718,0.0009591314,0.4975124378
0.5730730731,49.7512437811,103976,0.0019179685,0.0009608363,0.4975124378
0.5735735736,49.2537313433,103779,0.0019024011,0.0009530411,0.4925373134
0.5740740741,49.2537313433,103591,0.0019058436,0.000954769,0.4925373134
0.5745745746,49.2537313433,103423,0.0019089305,0.0009563185,0.4925373134
0.5750750751,49.2537313433,103252,0.0019120828,0.0009579007,0.4925373134
0.5755755756,49.2537313433,103070,0.0019154494,0.0009595906,0.4925373134
0.5760760761,48.7562189055,102853,0.0019001086,0.0009519092,0.4875621891
0.5765765766,48.7562189055,102666,0.0019035595,0.0009536414,0.4875621891
0.5770770771,48.7562189055,102467,0.0019072456,0.0009554916,0.4875621891
0.5775775776,48.7562189055,102253,0.0019112255,0.0009574894,0.4875621891
0.5780780781,48.7562189055,102028,0.001915428,0.0009595989,0.4875621891
0.5785785786,48.7562189055,101799,0.0019197242,0.0009617555,0.4875621891
0.5790790791,48.7562189055,101602,0.0019234355,0.0009636185,0.4875621891
0.5795795796,48.7562189055,101416,0.0019269528,0.0009653841,0.4875621891
0.5800800801,48.7562189055,101228,0.0019305209,0.0009671753,0.4875621891
0.5805805806,48.7562189055,101021,0.0019344651,0.0009691552,0.4875621891
0.5810810811,48.7562189055,100787,0.0019389431,0.0009714031,0.4875621891
0.5815815816,48.7562189055,100589,0.0019427484,0.0009733133,0.4875621891
0.5820820821,48.2587064677,100342,0.001927663,0.0009657603,0.4825870647
0.5825825826,48.2587064677,100106,0.0019321939,0.0009680349,0.4825870647
0.5830830831,48.2587064677,99885,0.0019364563,0.0009701746,0.4825870647
0.5835835836,48.2587064677,99645,0.0019411064,0.0009725091,0.4825870647
0.5840840841,48.2587064677,99417,0.0019455448,0.0009747372,0.4825870647
0.5845845846,48.2587064677,99187,0.0019500427,0.0009769953,0.4825870647
0.5850850851,48.2587064677,98949,0.001954719,0.0009793429,0.4825870647
0.5855855856,48.2587064677,98703,0.0019595762,0.0009817814,0.4825870647
0.5860860861,48.2587064677,98454,0.0019645172,0.000984262,0.4825870647
0.5865865866,48.2587064677,98202,0.0019695431,0.0009867852,0.4825870647
0.5870870871,48.2587064677,97962,0.0019743538,0.0009892004,0.4825870647
0.5875875876,48.2587064677,97705,0.0019795312,0.0009917998,0.4825870647
0.5880880881,48.2587064677,97475,0.0019841879,0.0009941377,0.4825870647
0.5885885886,48.2587064677,97195,0.0019898865,0.0009969987,0.4825870647
0.5890890891,48.2587064677,96881,0.0019963161,0.0010002269,0.4825870647
0.5895895896,48.2587064677,96569,0.002002746,0.0010034552,0.4825870647
0.5900900901,48.2587064677,96246,0.0020094465,0.0010068194,0.4825870647
0.5905905906,48.2587064677,95928,0.0020160871,0.0010101536,0.4825870647
0.5910910911,48.2587064677,95620,0.0020225609,0.0010134041,0.4825870647
0.5915915916,48.2587064677,95322,0.0020288643,0.001016569,0.4825870647
0.5920920921,48.2587064677,95042,0.0020348227,0.0010195609,0.4825870647
0.5925925926,48.2587064677,94742,0.0020412458,0.001022786,0.4825870647
0.5930930931,48.2587064677,94439,0.0020477744,0.0010260641,0.4825870647
0.5935935936,48.2587064677,94138,0.0020543013,0.0010293415,0.4825870647
0.5940940941,47.7611940299,93824,0.0020399273,0.0010221465,0.4776119403
0.5945945946,47.7611940299,93518,0.002046581,0.0010254876,0.4776119403
0.5950950951,47.7611940299,93163,0.0020543548,0.0010293913,0.4776119403
0.5955955956,47.7611940299,92829,0.0020617228,0.0010330912,0.4776119403
0.5960960961,47.263681592,92479,0.0020479655,0.0010262061,0.4726368159
0.5965965966,47.263681592,92159,0.0020550538,0.0010297656,0.4726368159
0.5970970971,47.263681592,91841,0.0020621466,0.0010333275,0.4726368159
0.5975975976,47.263681592,91511,0.002069559,0.00103705,0.4726368159
0.5980980981,47.263681592,91184,0.0020769567,0.0010407651,0.4726368159
0.5985985986,47.263681592,90812,0.0020854371,0.001045024,0.4726368159
0.5990990991,47.263681592,90473,0.0020932257,0.0010489356,0.4726368159
0.5995995996,47.263681592,90134,0.0021010727,0.0010528766,0.4726368159
0.6001001001,47.263681592,89759,0.0021098218,0.0010572707,0.4726368159
0.6006006006,47.263681592,89319,0.0021201808,0.0010624734,0.4726368159
0.6011011011,47.263681592,88911,0.0021298777,0.0010673438,0.4726368159
0.6016016016,47.263681592,88571,0.0021380265,0.0010714366,0.4726368159
0.6021021021,47.263681592,88234,0.0021461651,0.0010755245,0.4726368159
0.6026026026,47.263681592,87865,0.002155148,0.0010800364,0.4726368159
0.6031031031,46.2686567164,87098,0.0021283413,0.0010666238,0.4626865672
0.6036036036,46.2686567164,86687,0.002138398,0.0010716755,0.4626865672
0.6041041041,46.2686567164,86330,0.0021472109,0.0010761024,0.4626865672
0.6046046046,46.2686567164,85935,0.0021570469,0.0010810434,0.4626865672
0.6051051051,46.2686567164,85516,0.0021675795,0.0010863344,0.4626865672
0.6056056056,46.2686567164,85117,0.0021777054,0.0010914212,0.4626865672
0.6061061061,46.2686567164,84724,0.002187772,0.0010964783,0.4626865672
0.6066066066,46.2686567164,84364,0.0021970753,0.0011011521,0.4626865672
0.6071071071,46.2686567164,83972,0.0022072959,0.0011062868,0.4626865672
0.6076076076,46.2686567164,83518,0.0022192526,0.0011122938,0.4626865672
0.6081081081,46.2686567164,83083,0.002230831,0.001118111,0.4626865672
0.6086086086,46.2686567164,82636,0.0022428554,0.0011241524,0.4626865672
0.6091091091,46.2686567164,82147,0.002256159,0.0011308366,0.4626865672
0.6096096096,46.2686567164,81684,0.0022689014,0.0011372391,0.4626865672
0.6101101101,46.2686567164,81245,0.002281117,0.001143377,0.4626865672
0.6106106106,46.2686567164,80774,0.0022943702,0.0011500365,0.4626865672
0.6111111111,46.2686567164,80353,0.0023063474,0.001156055,0.4626865672
0.6116116116,46.2686567164,79946,0.0023180459,0.0011619336,0.4626865672
0.6121121121,46.2686567164,79536,0.0023299511,0.0011679162,0.4626865672
0.6126126126,46.2686567164,79117,0.0023422448,0.0011740942,0.4626865672
0.6131131131,45.7711442786,78690,0.0023296152,0.0011677794,0.4577114428
0.6136136136,45.7711442786,78278,0.002341831,0.0011739186,0.4577114428
0.6141141141,45.7711442786,77781,0.0023567385,0.0011814108,0.4577114428
0.6146146146,45.7711442786,77332,0.0023703704,0.001188262,0.4577114428
0.6151151151,45.7711442786,76874,0.0023844389,0.001195333,0.4577114428
0.6156156156,45.7711442786,76463,0.0023972067,0.0012017504,0.4577114428
0.6161161161,45.7711442786,75993,0.002411976,0.001209174,0.4577114428
0.6166166166,45.7711442786,75503,0.0024275687,0.0012170117,0.4577114428
0.6171171171,45.7711442786,75072,0.0024414516,0.0012239902,0.4577114428
0.6176176176,45.7711442786,74562,0.0024580856,0.0012323519,0.4577114428
0.6181181181,45.7711442786,74085,0.0024738498,0.0012402766,0.4577114428
0.6186186186,45.7711442786,73630,0.0024890765,0.0012479314,0.4577114428
0.6191191191,45.7711442786,73154,0.0025052078,0.0012560413,0.4577114428
0.6196196196,45.7711442786,72716,0.0025202372,0.0012635974,0.4577114428
0.6201201201,45.7711442786,72341,0.0025332489,0.0012701393,0.4577114428
0.6206206206,45.2736318408,71817,0.0025239568,0.0012655059,0.4527363184
0.6211211211,45.2736318408,71353,0.0025403029,0.0012737249,0.4527363184
0.6216216216,45.2736318408,70863,0.0025577964,0.0012825211,0.4527363184
0.6221221221,45.2736318408,70367,0.0025757511,0.0012915496,0.4527363184
0.6226226226,45.2736318408,69887,0.0025933684,0.0013004087,0.4527363184
0.6231231231,45.2736318408,69405,0.0026113032,0.0013094279,0.4527363184
0.6236236236,44.776119403,68951,0.0025995783,0.0013035732,0.447761194
0.6241241241,44.776119403,68454,0.0026183722,0.0013130252,0.447761194
0.6246246246,44.776119403,67979,0.00263659,0.0013221878,0.447761194
0.6251251251,44.776119403,67464,0.0026566305,0.0013322675,0.447761194
0.6256256256,44.776119403,65890,0.0027198138,0.0013640497,0.447761194
0.6261261261,44.776119403,65433,0.0027387256,0.0013735635,0.447761194
0.6266266266,44.776119403,64750,0.0027674851,0.0013880321,0.447761194
0.6271271271,44.2786069652,64250,0.0027579795,0.0013832978,0.4427860697
0.6276276276,44.2786069652,63753,0.0027793826,0.0013940666,0.4427860697
0.6281281281,44.2786069652,63232,0.0028021788,0.0014055369,0.4427860697
0.6286286286,44.2786069652,62671,0.002827147,0.0014181007,0.4427860697
0.6291291291,44.2786069652,62126,0.0028518329,0.0014305232,0.4427860697
0.6296296296,43.7810945274,61543,0.0028464226,0.0014278529,0.4378109453
0.6301301301,43.7810945274,60999,0.0028716878,0.0014405684,0.4378109453
0.6306306306,43.7810945274,60488,0.0028958323,0.0014527205,0.4378109453
0.6311311311,43.7810945274,59884,0.0029248999,0.0014673514,0.4378109453
0.6316316316,43.7810945274,59377,0.0029497536,0.0014798621,0.4378109453
0.6321321321,43.7810945274,58773,0.0029799194,0.0014950477,0.4378109453
0.6326326326,43.7810945274,58228,0.003007673,0.0015090198,0.4378109453
0.6331331331,43.2835820896,57636,0.0030039362,0.0015071982,0.4328358209
0.6336336336,42.7860696517,57032,0.0030007502,0.001505655,0.4278606965
0.6341341341,42.7860696517,56476,0.0030301429,0.0015204554,0.4278606965
0.6346346346,42.7860696517,55875,0.003062569,0.0015367845,0.4278606965
0.6351351351,42.7860696517,55307,0.003093859,0.0015525427,0.4278606965
0.6356356356,42.7860696517,54685,0.0031288656,0.001570174,0.4278606965
0.6361361361,42.7860696517,54119,0.003161416,0.0015865695,0.4278606965
0.6366366366,42.2885572139,53481,0.0031617907,0.0015868275,0.4228855721
0.6371371371,42.2885572139,52884,0.0031972917,0.0016047122,0.4228855721
0.6376376376,42.2885572139,52291,0.003233353,0.0016228807,0.4228855721
0.6381381381,42.2885572139,51674,0.0032717475,0.0016422265,0.4228855721
0.6386386386,42.2885572139,51047,0.0033117098,0.0016623641,0.4228855721
0.6391391391,42.2885572139,50467,0.0033495557,0.0016814369,0.4228855721
0.6396396396,42.2885572139,49870,0.003389425,0.0017015314,0.4228855721
0.6401401401,42.2885572139,49276,0.0034300472,0.0017220073,0.4228855721
0.6406406406,42.2885572139,48653,0.0034737122,0.001744019,0.4228855721
0.6411411411,41.7910447761,48054,0.0034754546,0.0017449832,0.4179104478
0.6416416416,41.7910447761,46416,0.0035973534,0.0018064516,0.4179104478
0.6421421421,41.7910447761,45774,0.0036474956,0.0018317415,0.4179104478
0.6426426426,41.7910447761,45157,0.0036970204,0.0018567229,0.4179104478
0.6431431431,40.7960199005,44483,0.0036634946,0.001840009,0.407960199
0.6436436436,40.7960199005,43903,0.0037115829,0.0018642719,0.407960199
0.6441441441,40.7960199005,6159,0.0254579323,0.01313892,0.407960199
0.6446446446,40.7960199005,1851,0.0768509841,0.0424211071,0.407960199
0.6451451451,40.7960199005,1725,0.0816733068,0.0453790814,0.407960199
0.6456456456,40.7960199005,1720,0.0818771842,0.0455049945,0.407960199
0.6461461461,40.7960199005,1718,0.0819590205,0.0455555556,0.407960199
0.6466466466,40.7960199005,1716,0.0820410205,0.0456062291,0.407960199
0.6471471471,40.7960199005,1712,0.0822055138,0.0457079153,0.407960199
0.6476476476,40.7960199005,1710,0.082288008,0.0457589286,0.407960199
0.6481481481,40.2985074627,1709,0.0813661477,0.0452513966,0.4029850746
0.6486486486,40.2985074627,1705,0.0815299446,0.0453527436,0.4029850746
0.6491491491,40.2985074627,1701,0.0816944024,0.0454545455,0.4029850746
0.6496496497,40.2985074627,1695,0.0819423369,0.0456081081,0.4029850746
0.6501501502,40.2985074627,1694,0.0819838057,0.0456338028,0.4029850746
0.6506506507,40.2985074627,1693,0.0820253165,0.0456595265,0.4029850746
0.6511511512,40.2985074627,1671,0.0829493088,0.0462328767,0.4029850746
0.6516516517,40.2985074627,1657,0.0835482207,0.0466052934,0.4029850746
0.6521521522,40.2985074627,1656,0.0835913313,0.0466321244,0.4029850746
0.6526526527,40.2985074627,1655,0.0836344863,0.0466589862,0.4029850746
0.6531531532,40.2985074627,1652,0.0837642192,0.0467397576,0.4029850746
0.6536536537,39.8009950249,1651,0.082815735,0.0462160601,0.3980099502
0.6541541542,39.8009950249,1650,0.0828586225,0.0462427746,0.3980099502
0.6546546547,39.8009950249,1648,0.0829445308,0.0462962963,0.3980099502
0.6551551552,39.8009950249,1648,0.0829445308,0.0462962963,0.3980099502
0.6556556557,39.8009950249,1645,0.0830737279,0.0463768116,0.3980099502
0.6561561562,39.8009950249,1641,0.0832466181,0.046484602,0.3980099502
0.6566566567,39.8009950249,1641,0.0832466181,0.046484602,0.3980099502
0.6571571572,39.8009950249,1639,0.0833333333,0.0465386853,0.3980099502
